G35168.GTEX-SNMC-0826-SM-4DM66.1
G64389.GTEX-13SLW-0326.1
G26533.GTEX-SIU7-0526-SM-3NM8I.1
G18060.GTEX-OXRK-0526-SM-2YUMW.1
G65223.GTEX-147JS-2526.2
G23375.GTEX-R55D-1026-SM-3GAEQ.1
G20897.GTEX-SN8G-0006-SM-32PLD.1
G61792.GTEX-Y8E4-1726.2
G62160.GTEX-13OW7-0126.2
G25133.GTEX-O5YW-0126-SM-3LK6D.1
G62070.GTEX-1211K-0006.2
G65629.GTEX-P4PP-0226.2
G33852.GTEX-QDT8-0008-SM-48U2F.3
G62959.GTEX-13112-0226.3
G26696.GTEX-QDT8-0526-SM-3NMD8.1
G16726.GTEX-N7MT-0011-R3a.3
G19405.GTEX-S7SE-0926-SM-2XCD6.1
G62102.GTEX-13O21-1726.2
G61217.GTEX-139YR-1526.3
G62459.GTEX-11PRG-0005.2
G42494.GTEX-QV31-0826.2
G41582.GTEX-WY7C-1626.2
G26614.GTEX-WK11-0926-SM-3NMAU.1
G16761.GTEX-P78B-0426.3
G64178.GTEX-148VJ-1626.1
G63945.GTEX-145MH-1026.2
G21034.GTEX-T6MO-1926-SM-32QOJ.1
G18681.GTEX-R55E-0011-R4A-SM-2TC5H.2
G61791.GTEX-Y5V5-1026.2
G19423.GTEX-SIU8-0926-SM-2XCDO.1
G32407.GTEX-QV31-0526-SM-447C3.2
G23308.GTEX-NPJ7-0011-R1a-SM-3GACT.1
G19454.GTEX-P44H-0011-R10A-SM-2XCEK.2
G53096.GTEX-11NUK-2626.3
G62027.GTEX-13FLV-0011-R4a.2
G46445.GTEX-Y111-2926.1
G60628.GTEX-13OVH-1826.2
G41612.GTEX-WYVS-0004.1
G18503.K-562.1
G46557.GTEX-Y114-2526.2
G21054.GTEX-T2IS-0011-R5A-SM-32QP4.1
G45128.GTEX-NL3G-0226.2
G63100.GTEX-14ABY-0011-R6a.2
G26720.GTEX-X4EO-0326-SM-3P5YO.2
G32434.GTEX-QVJO-1826-SM-447C9.2
G58563.GTEX-11ZTS-0826.2
G33690.GTEX-R55G-0008-SM-48FEX.4
G26776.GTEX-PLZ6-0626-SM-3P61B.2
G34525.GTEX-XUJ4-2826-SM-4BOQ2.7
G19399.GTEX-P44G-2326-SM-2XCCZ.1
G26620.GTEX-X4XX-2926-SM-3NMB1.1
G61920.GTEX-1313W-3226.2
G60830.K-562.2
G34670.GTEX-SE5C-0326-SM-4BRWX.1
G62428.GTEX-13FHO-0926.2
G39740.GTEX-V1D1-0926-SM-4JBHQ.1
G39664.GTEX-UPK5-1226-SM-4IHL8.2
G34336.GTEX-XYKS-2426-SM-4AT43.2
G19453.GTEX-P44H-2426-SM-2XCEJ.2
G32370.GTEX-QEL4-1326-SM-447AD.2
G62757.GTEX-13PLJ-0011-R5a.3
G26628.GTEX-WHPG-0226-SM-3NMB9.1
G41022.GTEX-WFG8-0001-SM-4LVN8.3
G65098.GTEX-11VI4-0001.2
G53035.GTEX-11I78-0826.3
G62854.GTEX-12WSH-0011-R6b.3
G61189.GTEX-Y5V5-2426.3
G35314.GTEX-U3ZM-0826-SM-4DXU6.7
G18698.GTEX-R55E-0126-SM-2TC5Y.2
