Brain - Anterior cingulate cortex (BA24),Liver
Vagina,Adipose - Visceral (Omentum)
Nerve - Tibial,Artery - Aorta
Brain - Spinal cord (cervical c-1),Brain - Putamen (basal ganglia)
Liver,Artery - Tibial
Brain - Cortex,Breast - Mammary Tissue
Skin - Not Sun Exposed (Suprapubic),Muscle - Skeletal
Stomach,Adrenal Gland
Brain - Spinal cord (cervical c-1),Brain - Hypothalamus
Heart - Left Ventricle,Brain - Cerebellum
Esophagus - Muscularis,Brain - Hypothalamus
Breast - Mammary Tissue,Heart - Atrial Appendage
Pituitary,Brain - Spinal cord (cervical c-1)
Brain - Hippocampus,Brain - Amygdala
Nerve - Tibial,Esophagus - Muscularis
Brain - Putamen (basal ganglia),Esophagus - Gastroesophageal Junction
Brain - Cerebellum,Cells - Transformed fibroblasts
Heart - Atrial Appendage,Pituitary
Spleen,Adipose - Visceral (Omentum)
Brain - Cerebellar Hemisphere,Heart - Atrial Appendage
Brain - Hypothalamus,Brain - Cerebellar Hemisphere
Skin - Sun Exposed (Lower leg),Artery - Coronary
Nerve - Tibial,Esophagus - Mucosa
Brain - Hippocampus,Brain - Cerebellum
Adipose - Subcutaneous,Uterus
Brain - Hypothalamus,Skin - Sun Exposed (Lower leg)
Skin - Sun Exposed (Lower leg),Brain - Substantia nigra
Brain - Nucleus accumbens (basal ganglia),Brain - Caudate (basal ganglia)
Pituitary,Brain - Substantia nigra
Skin - Not Sun Exposed (Suprapubic),Adrenal Gland
Colon - Transverse,Small Intestine - Terminal Ileum
Ovary,Artery - Tibial
Testis,Heart - Left Ventricle
Muscle - Skeletal,Heart - Atrial Appendage
Colon - Sigmoid,Lung
Brain - Nucleus accumbens (basal ganglia),Brain - Frontal Cortex (BA9)
Brain - Cerebellar Hemisphere,Nerve - Tibial
Esophagus - Gastroesophageal Junction,Brain - Hippocampus
Brain - Cerebellar Hemisphere,Brain - Spinal cord (cervical c-1)
Whole Blood,Adipose - Subcutaneous
Testis,Heart - Atrial Appendage
Lung,Pituitary
Lung,Heart - Atrial Appendage
Skin - Sun Exposed (Lower leg),Pancreas
Vagina,Esophagus - Muscularis
Colon - Transverse,Breast - Mammary Tissue
Muscle - Skeletal,Esophagus - Gastroesophageal Junction
Brain - Cerebellum,Esophagus - Gastroesophageal Junction
Brain - Cortex,Brain - Spinal cord (cervical c-1)
Adipose - Subcutaneous,Brain - Cerebellar Hemisphere
Esophagus - Muscularis,Liver
Artery - Tibial,Adrenal Gland
Adrenal Gland,Colon - Transverse
Prostate,Adipose - Subcutaneous
Vagina,Liver
Testis,Brain - Substantia nigra
Colon - Transverse,Cells - EBV-transformed lymphocytes
Adrenal Gland,Artery - Tibial
Spleen,Cells - Transformed fibroblasts
Muscle - Skeletal,Brain - Amygdala
Colon - Sigmoid,Artery - Aorta
Heart - Atrial Appendage,Brain - Hippocampus
Brain - Cerebellar Hemisphere,Cells - Transformed fibroblasts
Adipose - Visceral (Omentum),Prostate
